District,Local Government,Network,Investment ID,Investment Name, 2024-25 to 2027-28 total budget ($'000) ,Committed total budget ($'000),Australian Government contribution ($’000),Queensland Government contribution ($’000),Local Government/Other Contribution ($’000),Estimated expenditure to 30 June 2024 ($’000),2024-25 ($’000), 2025-26 ($’000),2025-26 to 2026-27 ($'000),2026-27 to 2027-28 ($'000),2026-27 ($’000),2027-28 ($’000),Beyond ($’000),Endnotes,Web Link,Map,Midpoint Latitude,Midpoint Longitude
Central West,Longreach Regional,State,3135658,"Thomson Developmental Road (Jundah - Longreach), rehabilitate pavement",6000000,6000000,0,6000000,0,0,2717764,3282236,0,0,0,0,0,,,1,-24.136182,143.695808
Central West,Winton Shire,State,3098543,"Richmond - Winton Road, pave and seal",2377275,2377275,0,2377275,0,0,0,0,2377275,2377275,2377275,0,0,Transport Infrastructure Development Scheme,,1,-21.709219,142.600416
Central West,Winton Shire,Local,2351207,"Winton - Jundah Road, progressive sealing",12960000,15552000,12960000,0,2592000,0,5480000,5480000,2000000,2000000,2000000,0,0,,,1,-22.787392,142.582488
Central West,Various local governments,State,3027985,"Central West District, various locations, town entry treatments",1125000,1700000,850000,850000,0,575000,1125000,0,0,0,0,0,0,Australian Government Road Safety Program,,0,,
Central West,Various local governments,State,1217749,"Outback Way Queensland Future Priorities, funding commitment",24000000,182023548,146018838,36004710,0,0,0,8136667,15863333,15863333,8136667,7726666,158023548,Project details and timing subject to further planning and negotiation with the Australian Government.,,0,,
Central West,Various local governments,State,3182061,Rest area upgrades and facility replacement program,1000000,1000000,0,1000000,0,0,1000000,0,0,0,0,0,0,,,0,,
Central West,Other works,,,Construction Works,120000,0,0,120000,0,0,0,120000,0,0,0,0,0,,,0,,
Central West,Other works,,,Corridor and Minor Safety Enhancements,8248246,0,584877,7663369,0,0,5230529,1547119,1470598,1470598,727139,743459,0,,,0,,
Central West,Other works,,,"Corridor, Roadway and Structures Management",2572644,0,0,2572644,0,0,656327,610450,1305867,1305867,640334,665533,0,,,0,,
Central West,Other works,,,Local Government Transport Development,8423447,0,240000,8183447,0,0,2234918,1232918,4955611,4955611,1214168,3741443,0,,,0,,
Central West,Other works,,,Natural Disaster Operational,1900000,0,1425000,475000,0,0,1900000,0,0,0,0,0,0,,,0,,
Central West,Other works,,,Natural Disaster Rehabilitation and Replacement,7676576,0,5757433,1919143,0,0,2311477,5365099,0,0,0,0,0,,,0,,
Central West,Other works,,,Programmed Maintenance,48010571,0,4524057,43486514,0,0,8678582,12661791,26670198,26670198,12949547,13720651,0,,,0,,
Central West,Other works,,,Rehabilitation,34195228,0,4443725,29751503,0,0,7105030,6388627,20701571,20701571,10092246,10609325,0,,,0,,
Central West,Other works,,,Routine Maintenance,110043492,0,4165217,105878275,0,0,26250554,26387584,57405354,57405354,27650669,29754685,0,,,0,,
Central West,Other works,,,Traffic Management Enhancements,120000,0,120000,0,0,0,0,120000,0,0,0,0,0,,,0,,
Central West,Other works,,,Traffic Operations,577000,0,97000,480000,0,0,577000,0,0,0,0,0,0,,,0,,
Central West,Other works,,,Transport Planning,1311675,0,0,1311675,0,0,686675,350000,275000,275000,175000,100000,0,,,0,,
Mackay/Whitsunday,Isaac Regional,State,3161733,"Clermont - Alpha Road, pave and seal",5500000,5500000,4400000,1100000,0,0,500000,4500000,500000,500000,500000,0,0,Australian Government Queensland Beef Corridors Program,,1,-22.866698,147.256807
Mackay/Whitsunday,Isaac Regional,State,3162853,"May Downs Road, pave and seal",20000000,20000000,16000000,4000000,0,0,500000,2000000,17500000,17500000,15500000,2000000,0,Australian Government Queensland Beef Corridors Program,,1,-22.672624,149.00006
Mackay/Whitsunday,Isaac Regional,State,1197099,"Peak Downs Highway (Clermont - Nebo), Millennium Coal Mine to Carborough Downs Coal Mine, construct overtaking lanes",11058794,12000000,0,12000000,0,941206,500000,5000000,5558794,5558794,2789140,2769654,0,,,1,-21.97806,148.211746
Mackay/Whitsunday,Isaac Regional,Local,2354297,"Dysart Clermont Road, pave and seal",912800,1630000,1304000,0,326000,391200,912800,0,0,0,0,0,0,,,1,-22.654478,148.192639
Mackay/Whitsunday,Isaac Regional,Local,2354484,"Eaglefield Road (Moranbah), pave and seal",873600,1560000,1248000,0,312000,374400,873600,0,0,0,0,0,0,,,1,-21.840926,147.541037
Mackay/Whitsunday,Isaac Regional,Local,2579547,"Golden Mile Road (Dysart), rehabilitate pavement",1095000,3214501,1920000,0,1294501,825000,1095000,0,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-22.524361,148.620882
Mackay/Whitsunday,Isaac Regional,Local,3006072,"Mount Stuart Bedford Weir Road, Cooroorah Creek, replace bridge",2072289,2590362,2072289,0,518073,0,932530,1139759,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-23.285056,148.806261
Mackay/Whitsunday,Isaac Regional,Local,2346598,"Peak Downs Mine Road, rehabilitate pavement",1174000,2488000,0,1244000,1244000,70000,730000,444000,0,0,0,0,0,,,1,-22.26076,148.180753
Mackay/Whitsunday,Isaac Regional,Local,2353800,"Saraji Road, Phillips Creek, replace bridge",16800000,18000000,14400000,3600000,0,1200000,15800000,1000000,0,0,0,0,0,,,1,-22.521321,148.30501
Mackay/Whitsunday,Isaac Regional,Local,2346493,"Various roads, construct floodways",2314500,5804414,0,2902207,2902207,587707,670000,644500,1000000,1000000,500000,500000,0,,,0,,
Mackay/Whitsunday,Mackay Regional,National,3034062,"Bruce Highway (Mackay - Proserpine) and Glendaragh Road (Glenella), improve intersection",1100000,1200000,0,1200000,0,100000,150000,950000,0,0,0,0,0,Safer Roads Sooner Program,,1,-21.115349,149.120569
Mackay/Whitsunday,Mackay Regional,National,936845,"Bruce Highway (Mackay - Proserpine), Palm Tree and Blackrock Creek bridges, strengthen bridges",5627132,13500000,10800000,2700000,0,7872868,2226762,1400370,2000000,2000000,2000000,0,0,,,1,-20.950446,148.820399
Mackay/Whitsunday,Mackay Regional,National,1170084,"Mackay Port Access, Bruce Highway to Mackay - Slade Point Road (Stage 1)",117401323,350000000,280000000,70000000,0,21803514,8000000,8000000,101401323,101401323,27074656,74326667,210795163,"The project is in the pre-business case stage, with scope, cost and timing subject to further planning and business case development, and consideration.",https://www.tmr.qld.gov.au/projects/mackay-port-access-bruce-highway-to-mackay-slade-point-road-construct-new-two-lane-road ,1,-21.109717,149.174442
Mackay/Whitsunday,Mackay Regional,National,1491450,Mackay Ring Road (Stage 1),70666155,497375000,397900000,99475000,0,426708845,21445543,5402076,43818536,43818536,33818536,10000000,0,"Construction of the Mackay Ring Road is complete, with remaining works associated with the connection to Bald Hill Road.",https://www.tmr.qld.gov.au/projects/mackay-ring-road ,1,-21.116456,149.130814
Mackay/Whitsunday,Mackay Regional,State,2631950,"Eton - Homebush Road, Peak Downs Highway to Sarina - Homebush Road, improve safety",2419457,2770000,0,2770000,0,350543,2419457,0,0,0,0,0,0,Safer Roads Sooner Program,,1,-21.295267,149.007757
Mackay/Whitsunday,Mackay Regional,State,2632254,"Mackay - Eungella Road, Pleystowe Connection Road and Pleystowe School Road intersections, improve intersections",2839909,3190000,0,3190000,0,350091,2839909,0,0,0,0,0,0,Safer Roads Sooner Program,,1,-21.143129,149.026029
Mackay/Whitsunday,Mackay Regional,State,2631773,"Maraju - Yakapari Road, Bald Hill Road to Bruce Highway, improve safety",3732009,4084000,0,4084000,0,351991,3732009,0,0,0,0,0,0,Safer Roads Sooner Program,,1,-21.125263,149.058932
Mackay/Whitsunday,Mackay Regional,State,833566,"Peak Downs Highway (Nebo - Mackay), Kirkup Bridge (Walkerston), replace timber bridge",9290814,11000000,0,11000000,0,1709186,1000000,4971756,3319058,3319058,3319058,0,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",,1,-21.160464,149.06549
Mackay/Whitsunday,Mackay Regional,State,2337373,"Peak Downs Highway (Nebo - Mackay), Walkerston to Racecourse, improve road safety",12300000,14500000,7250000,7250000,0,2200000,6150000,6150000,0,0,0,0,0,Australian Government Road Safety Program,,1,-21.163314,149.101742
Mackay/Whitsunday,Mackay Regional,State,2383070,"Peak Downs Highway (Nebo - Mackay), east of Eton Range, rehabilitate pavement",6770000,6870000,0,6870000,0,100000,2500000,2700000,1570000,1570000,1570000,0,0,,,1,-21.313931,148.934394
Mackay/Whitsunday,Mackay Regional,State,455240,Walkerston Bypass,91123163,251700000,181830000,69870000,0,160576837,52320437,34269616,4533110,4533110,4533110,0,0,,https://www.tmr.qld.gov.au/projects/walkerston-bypass ,1,-21.163842,149.05464
Mackay/Whitsunday,Mackay Regional,State,2336943,"Yakapari - Seaforth Road, Gromleys Road to Palm Avenue, improve road safety and treat roadside hazards",4400000,6500000,3250000,3250000,0,2100000,4400000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-20.920204,148.962266
Mackay/Whitsunday,Mackay Regional,Local,3025133,"Boundary Road West, Cowleys Road to Bernborough Avenue, construct urban form",2271364,6462744,0,2271364,4191380,0,0,1135682,1135682,1135682,1135682,0,0,,,1,-21.172907,149.14133
Mackay/Whitsunday,Mackay Regional,Local,2288444,"Milton Street and Bridge Road, upgrade intersection",1135682,5789000,0,1135682,4653318,0,0,0,1135682,1135682,0,1135682,0,,,1,-21.161385,149.17516
Mackay/Whitsunday,Mackay Regional,Local,2617742,"Munbura Road (Balberra), Bell Creek, replace bridge",4915233,7482644,5000000,0,2482644,84767,1949242,2965991,0,0,0,0,0,Australian Government Safer Local Roads and Infrastructure Program,,1,-21.334393,149.144744
Mackay/Whitsunday,Mackay Regional,Local,1868800,"Paradise Street and Webberley Street (Mackay), upgrade intersection",1135682,6011683,0,1967590,4044093,831908,1135682,0,0,0,0,0,0,,,1,-21.163378,149.165594
Mackay/Whitsunday,Mackay Regional,Local,2754988,"Pioneer River Northbank (Stage 4), Bruce Highway to Discovery Lane, construct shared path",580834,2323334,0,1161667,1161667,580833,580834,0,0,0,0,0,0,,,1,-21.129635,149.164317
Mackay/Whitsunday,Whitsunday Regional,National,2342729,"Bruce Highway (Mackay - Proserpine) O'Connell River to Proserpine (Goorganga Floodplain), upgrade flood immunity",170000000,470000000,376000000,94000000,0,0,0,24000000,146000000,146000000,61145000,84855000,300000000,Project details and timing subject to further planning and negotiation with the Australian Government.,,1,-20.488932,148.606326
Mackay/Whitsunday,Whitsunday Regional,National,371124,"Bruce Highway (Mackay - Proserpine), Goorganga Plains, plan and preserve",7517919,15000000,12000000,3000000,0,7482081,1000000,5906386,611533,611533,611533,0,0,,https://www.tmr.qld.gov.au/projects/bruce-highway-mackay-proserpine-goorganga-plains-plan-and-preserve ,1,-20.490555,148.607649
Mackay/Whitsunday,Whitsunday Regional,National,2342944,"Bruce Highway (Mackay - Proserpine), Goorganga overtaking lanes",30000000,30000000,24000000,6000000,0,0,0,15000000,15000000,15000000,15000000,0,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",,1,-20.489766,148.607024
Mackay/Whitsunday,Whitsunday Regional,State,1510612,"Proserpine - Shute Harbour Road, Paluma Road to Valley Drive (Cannonvale), duplicate to four lanes",26031244,39700000,15050000,24650000,0,13668756,4000000,22031244,0,0,0,0,0,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",https://www.tmr.qld.gov.au/projects/proserpine-shute-harbour-road-paluma-road-to-tropic-road-cannonvale-duplication ,1,-20.286508,148.680218
Mackay/Whitsunday,Whitsunday Regional,State,1197433,"Proserpine - Shute Harbour Road, Valley Drive to Tropic Road (Cannonvale), duplicate to four lanes",28265776,34000000,0,34000000,0,5734224,2712552,10000000,15553224,15553224,12154667,3398557,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration.",https://www.tmr.qld.gov.au/projects/proserpine-shute-harbour-road-paluma-road-to-tropic-road-cannonvale-duplication ,1,-20.283955,148.68641
Mackay/Whitsunday,Whitsunday Regional,State,1198985,"Proserpine - Shute Harbour Road, Hamilton Plains, flood immunity upgrade",18559859,24000000,16800000,7200000,0,5440141,2000000,10937681,5622178,5622178,4000000,1622178,0,"The project is in the post-business case stage, with cost and timing subject to confirmation following market engagement and consideration.",https://www.tmr.qld.gov.au/projects/proserpine-shute-harbour-road-hamilton-plains-flood-immunity-upgrade ,1,-20.385012,148.587142
Mackay/Whitsunday,Whitsunday Regional,Local,2288447,"Main Street (Airlie Beach) (Stage 2), improve accessibility and parking",1354782,2726593,0,1354782,1371811,0,0,677391,677391,677391,677391,0,0,,,1,-20.268757,148.718552
Mackay/Whitsunday,Whitsunday Regional,Local,2756648,"Renwick Road, Carnation Street to Stanbury Street, construct shared path",825000,2200000,0,1100000,1100000,275000,825000,0,0,0,0,0,0,,,1,-20.409467,148.585349
Mackay/Whitsunday,Other works,,,Construction Works,36317222,0,19611954,16705268,0,0,4177212,10000000,22140010,22140010,22140010,0,0,,,0,,
Mackay/Whitsunday,Other works,,,Corridor and Minor Safety Enhancements,15013789,0,228988,14784801,0,0,6473702,5462403,3077684,3077684,1185297,1892387,0,,,0,,
Mackay/Whitsunday,Other works,,,"Corridor, Roadway and Structures Management",3616245,0,0,3616245,0,0,832935,898854,1884456,1884456,925018,959438,0,,,0,,
Mackay/Whitsunday,Other works,,,Local Government Transport Development,4529175,0,95500,4433675,0,0,1834601,673991,2020583,2020583,1014672,1005911,0,,,0,,
Mackay/Whitsunday,Other works,,,Natural Disaster Rehabilitation and Replacement,12464013,0,9271139,3192874,0,0,12464013,0,0,0,0,0,0,,,0,,
Mackay/Whitsunday,Other works,,,Programmed Maintenance,69950453,0,7674925,62275528,0,0,17262114,16962697,35725642,35725642,17775617,17950025,0,,,0,,
Mackay/Whitsunday,Other works,,,Rehabilitation,67923953,0,6291641,61632312,0,0,18422594,15835511,33665848,33665848,16462578,17203270,0,,,0,,
Mackay/Whitsunday,Other works,,,Routine Maintenance,101568145,0,6343039,95225106,0,0,24017759,24349132,53201254,53201254,25577400,27623854,0,,,0,,
Mackay/Whitsunday,Other works,,,Traffic Management Enhancements,3641000,0,2486000,1155000,0,0,378000,2463000,800000,800000,800000,0,0,,,0,,
Mackay/Whitsunday,Other works,,,Traffic Operations,2069000,0,104000,1965000,0,0,2069000,0,0,0,0,0,0,,,0,,
Mackay/Whitsunday,Other works,,,Transport Planning,4125000,0,0,4125000,0,0,1500000,1900000,725000,725000,725000,0,0,,,0,,
Northern,Burdekin Shire,National,3026594,"Bruce Highway, (Ayr - Townsville), Munro Street to Wilmington Street, upgrade pedestrian facilities",450000,1000000,500000,500000,0,550000,450000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-19.572613,147.404411
Northern,Burdekin Shire,National,399292,"Bruce Highway, Burdekin Deviation, plan and preserve corridor",10101028,29900000,23920000,5980000,0,947376,100000,100000,9901028,9901028,9901028,0,18851596,Early identified savings retained for the Bruce Highway Upgrade Program.,,1,-19.555747,147.369144
Northern,Burdekin Shire,National,1620983,"Burdekin River Bridge, rehabilitation program",36040000,96930579,64732000,31854368,344211,60890579,4000000,4500000,27540000,27540000,4500000,23040000,0,Includes an agreed contribution from Queensland Rail.,https://www.tmr.qld.gov.au/projects/burdekin-river-bridge-maintenance-and-rehabilitation-program ,1,-19.642962,147.396952
Northern,Charters Towers Regional,State,3047024,"Gregory Developmental Road (Belyando Crossing - Charters Towers) (Llanarth), upgrade Southbound stopping place",10000,1500000,750000,750000,0,1490000,10000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-21.268729,146.52496
Northern,Charters Towers Regional,State,3026375,"Gregory Developmental Road (Belyando Crossing - Charters Towers), (Llanarth), upgrade Northbound stopping place",10000,1500000,750000,750000,0,1490000,10000,0,0,0,0,0,0,Australian Government Road Safety Program,,1,-21.271226,146.524459
Northern,Hinchinbrook Shire,National,870976,"Bruce Highway (Ingham - Innisfail) and Lannercost Street, upgrade intersection",718555,1000000,800000,200000,0,281445,100000,100000,518555,518555,518555,0,0,,,1,-18.650786,146.155992
Northern,Hinchinbrook Shire,National,2129809,"Bruce Highway (Ingham - Innisfail), Gairloch Floodway, improve safety",40701866,48000000,48000000,0,0,652040,80000,80000,40541866,40541866,9187960,31353906,6646094,"The project has a business case, with scope, cost and timing subject to further project development and site investigations, and consideration.",https://www.tmr.qld.gov.au/projects/bruce-highway-ingham-innisfail-gairloch-floodway-safety-improvements ,1,-18.608494,146.182979
